characterName,dialogue
0,So this is the portal...
1,Let's get you transported.
1,"We can only use this portal twice, once to send you to the Spirit Realm, and second to bring you back, so don't come back until you find the Curer!"
0,What if I can't find her?
1,"Then, I guess that's the end of humanity. "
1,"But no pressure, off you go!"
0,But... 
1,Just remember two things:
1,"First, your objective is to go to the Heartland and bring the Curer back to our lab."
1,"Second, watch out for the pollen. I hypothesize that that is the cause of the Metamorphosis!"
